name,cuisine,rating,price_for_two,address,area,latitude,longitude,image_urls,phone,popular_dishes,ambiance_tags,url
Pappu Paratha,,3.6,₹100,,Pappu Paratha Sector 56 Gurgaon,28.4310821789,77.1001742408,"https://b.zmtcdn.com/data/pictures/9/19281049/fa2e1f9872721545a2b9c41bacf5f2dc.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/9/19281049/9cfbac1fcb0c9f45c25bba86a92c0e1a.jpg, https://b.zmtcdn.com/data/menus/049/19281049/8d1cb371b5b3260d2ea945bd7a61bf09.jpg, https://b.zmtcdn.com/data/pictures/9/19281049/8fb5becdae968a9fab77395711a1e489_featured_v2.jpg",,,"Bar, Family",https://www.zomato.com/ncr/pappu-paratha-sector-56-gurgaon/info
Zambar,,4.7,"₹1,400",,Zambar Dlf Phase 3 Gurgaon,28.5028,77.0971383,"https://b.zmtcdn.com/data/pictures/1/3431/0683127348c70eb1fe9f77308ac50d7a.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/1/3431/437e24222312574713f9d37cb7134adf.jpg, https://b.zmtcdn.com/data/pictures/1/3431/d6651f014a8767488b85581e7655c01b.jpg, https://b.zmtcdn.com/data/pictures/1/3431/3ccd4e4e80423345cbdf5c929689c0c6.jpg",,,"Casual Dining, Bar, Cafe, Family",https://www.zomato.com/ncr/zambar-dlf-phase-3-gurgaon/info
The Paan Studio,,3.5,₹100,,The Paan Studio 1 Dlf Phase 4 Gurgaon,28.4616077232,77.0887604356,"https://b.zmtcdn.com/data/reviews_photos/ff8/24879c120729e11b4fd97bbce94daff8_1629785911.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/2/19831612/ad9e41cc77f53b1cd99b9dd2d9a84550.jpg, https://b.zmtcdn.com/data/reviews_photos/6b1/d24ff65496664bf3dd85f858060f96b1_1631784836.jpg, https://b.zmtcdn.com/data/reviews_photos/7f2/c6d8038ff87e87ba2a1c736c863537f2_1631784836.jpg",,,"Bar, Cafe, Family",https://www.zomato.com/ncr/the-paan-studio-1-dlf-phase-4-gurgaon/info
The Barbeque Times,,4.4,"₹2,200",,The Barbeque Times Sector 50 Gurgaon,28.4270602694,77.0584461121,"https://b.zmtcdn.com/data/pictures/6/20293756/3c36fcef322ea5482cf964e7b15f4029.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/6/20293756/796b05b58af7f39d85b390d0f52a4e00.jpg, https://b.zmtcdn.com/data/pictures/6/20293756/bf7a017ef0c4b1f3e700aa27a5e0dfd4.jpg, https://b.zmtcdn.com/data/pictures/6/20293756/2b770a8474a3a4e3e6dfde41b7cc8f5c.jpg",,,"Casual Dining, Bar, Cafe, Family",https://www.zomato.com/ncr/the-barbeque-times-sector-50-gurgaon/info
"One8 Commune, Golf Course Road",,4.4,"₹3,500",,One8 Commune Golf Course Road Dlf Phase 5 Gurgaon,28.4546035091,77.0964854393,"https://b.zmtcdn.com/data/pictures/chains/6/19012596/21cb3c920b43153ff4278d11fb94f987.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/3/21794733/9ab3674d43d7854cc7cd64acb190e250.jpg, https://b.zmtcdn.com/data/pictures/chains/6/19012596/50d062a3d0c87a237b69076f2983e1bc.jpg, https://b.zmtcdn.com/data/pictures/chains/6/19012596/65d43de904c4a5bf04d252819d67f0e0.jpg",,,"Romantic, Casual Dining, Bar, Family, Lounge",https://www.zomato.com/ncr/one8-commune-golf-course-road-dlf-phase-5-gurgaon/info
Dhaba - Estd 1986 Delhi,,4.3,"₹1,400",,Dhaba Estd 1986 Delhi Dlf Cyber City,28.4950752,77.0876014,"https://b.zmtcdn.com/data/pictures/3/306153/ed63ba0bd921bebc211a93aacf711d11.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/3/306153/bf8866a04801365c2c907aad32fd3db9.jpg, https://b.zmtcdn.com/data/pictures/3/306153/1783375e692ab28e4c1792d5ba1065a6.jpg, https://b.zmtcdn.com/data/pictures/3/306153/2a59cb923cbc47fe0bca734566295941.jpg",,,"Casual Dining, Bar, Cafe, Family",https://www.zomato.com/ncr/dhaba-estd-1986-delhi-dlf-cyber-city/info
Open Tap Golf Course Road,,4.6,"₹2,500",,Open Tap Golf Course Road Golf Course Road Gurgaon,28.4479305694,77.0990503952,"https://b.zmtcdn.com/data/pictures/8/18359768/6a85e7e9abbde27483dd99d9c8b847af.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/8/18359768/17f0107febdfffe320f38a563d752119.jpg, https://b.zmtcdn.com/data/pictures/8/18359768/1126f78134fb243568c668f25f42fce1.jpg, https://b.zmtcdn.com/data/pictures/8/18359768/29874da119348153427d41849949ffb0_featured_v2.jpg",,,"Bar, Family, Lounge",https://www.zomato.com/ncr/open-tap-golf-course-road-golf-course-road-gurgaon/info
Chelvies Coffee,,4.5,"₹1,400",,Chelvies Coffee Sector 53 Gurgaon,28.443062,77.100813,"https://b.zmtcdn.com/data/pictures/7/21211387/256fd41387e3aec779b7f3edd3131fe1.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/7/21211387/be031bedd555e8eaa66c085e5475c66f.jpg, https://b.zmtcdn.com/data/pictures/chains/6/20523366/b2a3c332ff9c2cb24a3073a979aae719.jpg, https://b.zmtcdn.com/data/pictures/7/21211387/c2c19b17b42f2ebe37fff6ed29ec8554.jpg",,,"Romantic, Bar, Cafe, Family",https://www.zomato.com/ncr/chelvies-coffee-sector-53-gurgaon/info
Chai District,,3.0,₹100,,Chai District Golf Course Extension Gurgaon,28.40566139,77.06524786,"https://b.zmtcdn.com/data/pictures/5/20112715/6a334aa1c75451341741d76ec96429a4.jpeg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/pictures/5/20112715/b9ce52c55fdcebf74c1045880c9579a1.jpg, https://b.zmtcdn.com/data/pictures/5/20112715/d5ccfe0fb509c64b5161d35b0d23ebf4.jpeg, https://b.zmtcdn.com/data/pictures/5/20112715/689c47c5677c41b314223e33e98e40f3_featured_v2.jpg",,,"Bar, Family",https://www.zomato.com/ncr/chai-district-golf-course-extension-gurgaon/info
Dilli Fast Food,,2.6,₹100,,Dilli Fast Food Sector 14,28.4756989499,77.0441948622,"https://b.zmtcdn.com/data/pictures/chains/5/19085405/9dcd5507e1aec862f627e8c8ecb7c5f7.jpg, https://b.zmtcdn.com/data/o2_assets/5376b760d3b12ca9af29fc8f4e1847e71717417610.png, https://b.zmtcdn.com/data/menus/405/19085405/f58ca7374bf25ec467c0261c68abed1c.jpg, https://b.zmtcdn.com/data/pictures/5/19085405/35eafacb0055e651473815bab48f534b_featured_v2.jpg, https://b.zmtcdn.com/data/o2_assets/800315731f7ad44396cbac9e69d89f721613462226.png",,,"Bar, Family",https://www.zomato.com/ncr/dilli-fast-food-sector-14/info
